index,product_name,is_dietary_supplement,is_cosmetic,is_medical_device,is_prescription_drug,is_medicine
213,Алксоїд (полімеризований екстракт алергену) (Alxoid (polymerized extract allergen)),False,False,False,False,True
214,Алксоїд (суміш полімеризованих екстрактів алергенів) (Alxoid (mixture of polymerized extracts of allergens)),False,False,False,False,True
215,Аллева (Alleva),False,False,False,False,True
216,АЛЛЕВА (ALLEVA),False,False,False,False,True
217,Аллегра ® (Allegra ® ),False,False,False,False,True
218,Аллервег емульсія для елімінації алергенів Засіб акарицидний (Allerweg emulsion for allergens elimination),False,False,False,False,True
219,Аллервег спрей для елімінації алергенів Засіб акарицидний (Allerweg spray for allergens elimination),False,False,False,False,True
220,Аллерсет (Allercet),False,False,False,False,True
221,Аллертек ® (Allertec ® ),False,True,False,False,False
222,Аллертек ® Назо (Allertec ® Nazo),False,False,False,False,True
223,Аллеста ® (Allesta),False,False,False,False,True
224,Аллотон маска (Alloton mask),False,False,True,False,False
225,Аллотон термаліс кондиціонер для волосся,False,False,False,False,True
226,Аллотон термаліс шампунь для волосся,False,True,False,False,False
227,Аллуна (Alluna),False,True,False,False,False
228,Алмагель М (Almagel M),False,True,False,False,False
229,Алмагель ® (Almagel ® ),False,False,False,False,True
230,Алмагель ® А (Almagel ® A),False,False,False,False,True
231,Алмагель ® Нео (Almagel ® Neo),False,False,False,False,True
232,Алмиба (Almiba),False,False,False,False,True
233,Алміба (Almiba),False,False,False,False,True
234,Алмірал (Almiral),False,False,False,False,True
235,Алое екстракт (ALOES EXTRACTUM),False,False,False,False,True
236,Алое екстракт рідкий (Aloes extractum fluidum),False,False,False,False,True
237,Алое екстракт рідкий-Дарниця (Extractum aloes fluidum-Darnitsa),False,False,False,False,True
238,Алокін-Альфа (Allokin-Alfa),False,False,False,False,True
239,Алопуринол (Allopurinolum),False,False,False,False,True
240,Алопуринол Сандоз ® (Allopurinol Sandoz ® ),False,False,False,False,True
241,Алопуринол-Здоров'я,False,False,False,False,True
242,Алопуринол-КВ (Allopurinol-KV),False,False,False,False,True
243,АЛОРА ФОРТЕ (ALORA FORTE),False,False,False,False,True
244,Алора ® сироп (Alora ® syrup ),False,False,False,False,True
245,Алора ® таблетки (Alora ® tablets ),False,False,False,False,True
246,Алором (Aloromum),False,False,False,False,True
247,Алотендин (Alotendin ® ),False,False,False,False,True
248,Алохол (Allocholum),False,False,False,False,True
249,Алпе Гемостоп (розчинна гемостатична марля) (Alpe Hemostop (soluble hemostatic gauze)),False,False,False,False,True
250,АЛПЕ ® ПримаДерм гідроколоїдний (пов'язка) (ALPE ® PrimaDerm hydrocolloid (dressing)),False,False,False,False,True
251,АЛПЕ ® ПримаДерм з альгінатом кальцію (пов'язка) (ALPE ® PrimaDerm alginate (dressing)),False,False,False,False,True
252,АЛПЕ ® ПримаДерм з альгінатом кальцію та іонами срібла (пов'язка) (ALPE ® PrimaDerm alginate Ag silver (dressing)),False,False,False,False,True
253,АЛПЕ ® ПримаДерм прозорий (пов'язка) (ALPE ® PrimaDerm transparent (dressing)),False,False,False,False,True
254,Алсокам (Alsokam),False,False,False,False,True
255,Алтейка Галичфарм сироп (Alteyka Halychpharm sirupus ),False,False,False,False,True
256,Алтейка Галичфарм таблетки (Alteyka Halychpharm tablets ),False,False,False,False,True
257,Алтейка-Тернофарм (Alteyka-Ternopharm),False,False,False,False,True
258,Алтейка ® (Alteyka),True,False,False,False,False
259,Алтемікс (Althemix),False,False,False,False,True
260,Алтемікс Бронхо (Altemix Broncho),False,False,False,False,True
261,Алтею коріння (Altheae radix),True,False,False,False,False
262,Алтею сироп (Althea syrup),True,False,False,False,False
263,Алтіва (Altiva),False,False,False,False,True
264,Алтум (Altum),False,False,False,False,True
265,Алувіа (Aluvia),False,True,False,False,False
266,Алунбриг,False,True,False,False,False
267,АЛФАВІТ ® 50+ (ALFAVIT ® 50+),False,False,False,False,True
268,АЛФАВІТ ® ДИТЯЧИЙ САДОК (ALFAVIT CHILDREN'S KINDERGARTEN),False,False,False,False,True
269,АЛФАВІТ ® ДІАБЕТ (ALFAVIT DIABETES),False,False,False,False,True
270,АЛФАВІТ ® ДЛЯ ЧОЛОВІКІВ (ALFAVIT ® FOR MEN),False,False,False,False,True
271,АЛФАВІТ ® КЛАСІК (ALFAVIT CLASSIC),False,False,False,False,True
272,АЛФАВІТ ® КОСМЕТИК (ALFAVIT ® COSMETIC),False,False,False,False,True
273,АЛФАВІТ ® МАМА (ALFAVIT ® MAMA),False,False,False,False,True
274,АЛФАВІТ ® У СЕЗОН ЗАСТУД (ALFAVIT ® IN THE SEASON OF CLOSURE),False,False,False,False,True
275,АЛФАВІТ ® ШКОЛЯР (ALFAVIT SCHOOLCHILD),False,False,False,False,True
276,Алфірум (Alfirum),False,False,False,False,True
277,Алфлутоп (Alflutop),False,False,False,False,True
278,Альба ® (Alba),False,False,False,False,True
279,Альбела ® (Albela),False,False,False,False,True
280,Альбендазол (Albendazole),False,False,False,False,True
281,Альбендазол-Фармекс (Albendazole-Pharmex),False,False,False,False,True
282,Альбензі суспензія оральна (Albenzee oral suspension ),False,False,False,False,True
283,Альбензі таблетки (Albenzee tablets ),False,False,False,False,True
284,Альбувен,False,False,False,False,True
285,Альбунорм розчин для інфузій (Albunorm solution for infusion ),False,False,False,False,True
286,Альгеріка (Algerika),False,False,False,False,True
287,Альгімакс (Algimax),False,False,False,False,True
288,Альгозан ® (Algozan),True,False,False,False,False
289,Альдазол (Aldazole),False,False,False,False,True
290,Альдуразим ® (Aldurazyme),False,False,False,False,True
291,Альмінда (Alminda),False,False,False,False,True
292,АльпеКід Денто (AlpeKid ® Dento),False,False,False,False,True
293,АльпеКід Дормі (AlpeKid ® Dormi),False,False,False,False,True
294,АльпеКід Імуно (AlpeKid ® Immuno),False,False,False,False,True
295,АльпеКід Хепі Дрінк (AlpeKid ® Happy Drink),False,False,False,False,True
296,Альпента (Alpenta),False,False,False,False,True
297,Альпетонін (Alpetonin),False,False,False,False,True
298,Альпетонін Фаст (Alpetonin ® Fast),False,False,False,False,True
299,Альпікол таблетки шипучі (Alpikol ® effervescent tablets ),False,False,False,False,True
300,Альпікол льодяники для підтримки імунітету (Alpikol ® lozenges to support immunity ),False,False,False,False,True
301,Альпікол сироп для підтримки імунітету (Alpicol syrup to support immunity),False,False,False,False,True
302,Альпікол СофтФлюкс (Alpikol ® Soft Flux),False,False,False,False,True
303,Альпікол ХотФлюкс Напій (Alpikol ® Hot Flux Drink),False,False,False,False,True
304,Альтабор (Altabor),False,False,False,False,True
305,Альтан (Altanum),False,False,False,False,True
306,Альтрено™ (Altreno™),False,False,False,False,True
307,Альфа Нормікс (Alfa Normix ® ),False,True,False,False,False
308,Альфа-біселен (Alfa-biselen),False,False,False,False,True
309,Альфа-Бріон ®,False,False,False,False,True
310,Альфа-Ліпон (Alfa-Lipon),False,False,False,False,True
311,Альфа-токоферолу ацетат (вітамін E) (Alfa-tocopheroli acetas (vitaminum E)),False,False,False,False,True
312,Альфаган П ® (Alphagan P),False,False,False,False,True
313,Альфарекін ® ліофілізат для розчину для ін’єкцій (Alfarecin lyophilisate for solution for injection ),False,False,False,False,True
314,Альфарекін ® супозиторії (Alfarecin suppositories ),False,False,False,False,True
315,Альфахолін (Alphacholine),False,False,False,False,True
316,Альфлорекс (Alflorex),False,False,False,False,True
317,АЛЬФОРТ ДЕКСА (ALFORT DEXA),False,False,False,False,True
318,Альфорт декса IB (Alfort dexa IB),False,True,False,False,False
319,Альцмерат (Alcmerat),False,False,False,False,True
320,Ам-Алітер (Am-Aliter),False,False,False,False,True
321,Амантин (Amantin),False,False,False,False,True
322,Амарил ® (Amaryl ® ),False,False,False,False,True
323,Амарил ® m 2 мг/500 мг (Amaryl ® m 2 mg/500mg),False,True,False,False,False
324,Амбіт ® (Ambit),False,False,False,False,True
325,Амбрія (Ambria),False,False,False,False,True
326,Амброксол (Ambroxol),False,False,False,False,True
327,Амброксол (Ambroxol),False,False,False,False,True
328,Амброксол (Ambroxol),False,False,False,False,True
329,Амброксол (Ambroxolum),False,False,False,False,True
330,Амброксол (Ambroxolum),False,False,False,False,True
331,Амброксол (Ambroxolum),False,False,False,False,True
332,Амброксол (Ambroxolum),False,False,False,False,True
333,Амброксол 15 (Ambroxolum 15),False,False,False,False,True
334,Амброксол 30 (Ambroxolum 30),False,False,False,False,True
335,Амброксол Екстра (Ambroxol Extra),False,False,False,False,True
336,Амброксол-Дарниця (Ambroxolum-Darnitsa),False,False,False,False,True
337,Амброксол-Здоров'я (Ambroxol-Zdorovye),False,False,False,False,True
338,Амброксол-Здоров'я форте (Ambroxol-Zdorovye forte),False,False,False,False,True
339,Амброксол-КВ (Ambroxolum-KV),False,False,False,False,True
340,АМБРОКСОЛ-ЛУБНИФАРМ,False,False,False,False,True
341,Амброксол-Тева (Ambroxol-Teva),False,False,False,False,True
342,Амброксолу гідрохлорид (Ambroxoli hydrochloridum),False,False,False,False,True
343,Амброксолу гідрохлорид (Ambroxoli hydrochloridum),False,False,False,False,True
344,Амбролекс (Ambroleks),False,False,False,False,True
345,Амбролітин ® (Ambrolytin ® ),False,False,False,False,True
346,Амбротард 75 (Ambrotard 75),False,False,False,False,True
347,Амертил ® (Amertil ® ),False,True,False,False,False
348,Аміак (Ammonia),False,False,False,False,True
349,Аміак (Ammonia),False,False,False,False,True
350,Амігрен (Amigren),False,False,False,False,True
351,АМІГРЕН ФІТО (AMIGREN FITO),False,False,False,False,True
352,Амідарон (Amidaron),False,False,False,False,True
353,Амізон ® (Amizon ® ),False,False,False,False,True
354,Амізон ® Макс (Amizon Max),False,True,False,False,False
355,Амізончик ® (Amizonchik),False,False,False,False,True
356,Амікацид (Amikacud),False,False,False,False,True
357,Амікацин-Віста,False,False,False,False,True
358,Амікацину сульфат (Amikacini sulfas),False,False,False,False,True
359,Аміксин ® ІС (Amixin IC),False,False,False,False,True
360,Амілар ІС (Amilar IC),False,False,False,False,True
361,Аміназин (Aminazin),False,False,False,False,True
362,Аміназин (Aminazinum),False,False,False,False,True
363,Аміназин-Здоров'я (Aminazin-Zdorovye),False,False,False,False,True
364,Аміналон (Aminalon),False,False,False,False,True
365,Аміналон ® -КВ (Aminalonum-KV),False,False,False,False,True
366,Амінаргін,False,False,False,False,True
367,Аміневрин (Aminevrin),False,False,False,False,True
368,Аміновен (Aminoven),False,False,False,False,True
